dataset,n,n_near_zero,min_over_mean,has_near_zero,w1_2p,w1_offset,w1_2p_drop_near_zero,w1_offset_drop_near_zero,offset_gain,offset_gain_pct,offset_gain_dropped
Shotcrete [5000-5999 psi],471,0,0.5121472987169314,False,0.019823434844580767,0.019605822508347238,0.019823434844580767,0.019605822508347238,0.00021761233623352957,1.0977529269758182,0.00021761233623352957
Shotcrete [<3000 psi],4,0,0.6947073256221521,False,0.09825854152734412,0.09532682991839926,0.09825854152734412,0.09532682991839926,0.0029317116089448564,2.9836710003771,0.0029317116089448564
Shotcrete [>=6000 psi],264,0,0.575143175026236,False,0.018635383643213647,0.02051928374326173,0.018635383643213647,0.02051928374326173,-0.0018839001000480818,-10.109263839782189,-0.0018839001000480818
Shotcrete [strength not stated],96,0,0.553828792596203,False,0.06021302050660812,0.0694410297899624,0.06021302050660812,0.0694410297899624,-0.00922800928335428,-15.325604338917934,-0.00922800928335428
SinglePlyEPDM,29,0,0.5427374133154494,False,0.13560794283413527,0.1453306286373406,0.13560794283413527,0.1453306286373406,-0.009722685803205317,-7.169702305046632,-0.009722685803205317
SinglePlyKEE,11,0,0.6865021770682149,False,0.06120538489087029,0.06032379649751336,0.06120538489087029,0.06032379649751336,0.000881588393356926,1.440377174212376,0.000881588393356926
SinglePlyPVC,74,0,0.2495208029060221,False,0.07642597252090788,0.08370027158077542,0.07642597252090788,0.08370027158077542,-0.0072742990598675394,-9.518098128064393,-0.0072742990598675394
SinglePlyPolyurethane,27,0,0.029261979370631592,False,0.5393008445015866,0.3000464967833231,0.5393008445015866,0.3000464967833231,0.23925434771826343,44.363799937932335,0.23925434771826343
SinglePlyTPO,62,0,0.3518345723037127,False,0.057194747408254004,0.052833185410398324,0.057194747408254004,0.052833185410398324,0.00436156199785568,7.625808654635732,0.00436156199785568
SprayedInsulation,11,0,0.2735646824783542,False,0.24050848454214446,0.27591525549038065,0.24050848454214446,0.27591525549038065,-0.03540677094823619,-14.721630721527346,-0.03540677094823619
SteelSuspensionAssembly,98,0,0.779908212962328,False,0.022430015694505655,0.02437023175878405,0.022430015694505655,0.02437023175878405,-0.0019402160642783932,-8.650087858626238,-0.0019402160642783932
StoneCladding,19,0,0.056036173548425015,False,0.44848692640935595,0.2515432466089811,0.44848692640935595,0.2515432466089811,0.19694367980037486,43.91291433557078,0.19694367980037486
StorageFurniture,15,0,0.4050515197236374,False,0.08783878833290856,0.07799014843942556,0.08783878833290856,0.07799014843942556,0.009848639893483002,11.21217639769427,0.009848639893483002
SupplementaryCementitiousMaterials,28,0,0.030094591095792943,False,0.23849688010415548,0.09652725383885566,0.23849688010415548,0.09652725383885566,0.14196962626529983,59.5268274382874,0.14196962626529983
Tables,161,0,0.010087860674488462,False,0.5001091104063381,0.207908115588437,0.5001091104063381,0.207908115588437,0.29220099481790107,58.427448878203414,0.29220099481790107
TileGrout,43,0,0.09792415096210204,False,0.17529990351313526,0.2597227970537741,0.17529990351313526,0.2597227970537741,-0.08442289354063884,-48.159121510476474,-0.08442289354063884
Timber,17,0,0.20291634278304746,False,0.18473740085286763,0.1650824008913897,0.18473740085286763,0.1650824008913897,0.01965499996147793,10.639426489025885,0.01965499996147793
TranslucentWallAndRoofAssemblies,46,0,0.024422661002450306,False,0.189547552396642,0.28554312732099646,0.189547552396642,0.28554312732099646,-0.09599557492435445,-50.644586917944864,-0.09599557492435445
UnitSkylights,17,0,0.17198081066671964,False,0.23871944590069638,0.16902783902502747,0.23871944590069638,0.16902783902502747,0.06969160687566892,29.193937935269652,0.06969160687566892
VinylSiding,11,0,0.021164146567050412,False,0.12296981739923367,0.170014151632766,0.12296981739923367,0.170014151632766,-0.04704433423353234,-38.25681393085122,-0.04704433423353234
WallBase,14,0,0.44077705377260784,False,0.09105907057279974,0.09126832435472951,0.09105907057279974,0.09126832435472951,-0.00020925378192976352,-0.22980004146041627,-0.00020925378192976352
WallFinishes,173,3,0.004691913387652116,True,0.30781916914639146,0.5914110723025603,0.2770191342059612,0.6040777023657885,-0.28359190315616883,-92.12938360615848,-0.3270585681598273
WallPanels,163,0,0.04338456386536504,False,0.1094995054746117,0.1536481381146539,0.1094995054746117,0.1536481381146539,-0.04414863264004219,-40.31856805990635,-0.04414863264004219
WeatherBarriers,59,0,0.19425704471427524,False,0.40206389956304883,0.5224836203308111,0.40206389956304883,0.5224836203308111,-0.12041972076776225,-29.95039368086288,-0.12041972076776225
WindTurbines,3,0,0.5534407027818449,False,0.1876778907330952,0.17740828776858772,0.1876778907330952,0.17740828776858772,0.01026960296450749,5.47193008424862,0.01026960296450749
Windows,358,0,0.03715171721740349,False,0.1979450252478761,0.14648806306141013,0.1979450252478761,0.14648806306141013,0.051456962186465977,25.995582420941943,0.051456962186465977
WireMeshSteel,53,0,0.12533809383211908,False,0.14331818380405453,0.11859283364345828,0.14331818380405453,0.11859283364345828,0.02472535016059625,17.252067744872413,0.02472535016059625
WoodDoors,32,0,0.06277575592773858,False,0.21639115456819044,0.12378877366429841,0.21639115456819044,0.12378877366429841,0.09260238090389203,42.793976994429606,0.09260238090389203
WoodFlooring,86,0,0.05277042959300982,False,0.2459004729092343,0.1298139252021737,0.2459004729092343,0.1298139252021737,0.11608654770706062,47.208753335708295,0.11608654770706062
WoodFraming,7,0,0.29865244343971314,False,0.168346025573949,0.14153773467201206,0.168346025573949,0.14153773467201206,0.026808290901936954,15.924516667701747,0.026808290901936954
WoodJoists,5,0,0.6430053007605436,False,0.1796846767709229,0.17471323687532253,0.1796846767709229,0.17471323687532253,0.004971439895600366,2.7667578476590826,0.004971439895600366
WorkSurfaces,12,0,0.29609836134316875,False,0.14621427364956785,0.10573231802456866,0.14621427364956785,0.10573231802456866,0.04048195562499919,27.68673304907454,0.04048195562499919
