arm,dataset,n,weighting,family,method,w1,seconds,status,mass_below_zero,threshold
synthetic,dataset6028,839,Variable,lognormal_offset,mle,0.026371270002680285,0.00026462506502866745,,0.007565707530320383,-0.5
synthetic,dataset6028,839,Variable,lognormal_offset,w1,0.024375270436759272,0.04012579203117639,,0.008866427286715692,-0.5
synthetic,dataset6028,839,Variable,gamma,mle,0.03333134936276185,0.00027179194148629904,,0.0,0.0
synthetic,dataset6028,839,Variable,gamma,w1,0.02607565178750799,0.03798475000075996,,0.0,0.0
synthetic,dataset6028,839,Variable,kde,mle,0.03375701305080717,,,0.028608782407064094,
synthetic,dataset6042,601,Uniform,normal,mle,0.36896943595683124,0.00030858407262712717,,0.07857156877889677,1.0
synthetic,dataset6042,601,Uniform,normal,w1,0.5351699570851901,0.04431204206775874,,0.010089449959250962,0.8744177523653539
synthetic,dataset6042,601,Uniform,lognormal_2p,mle,0.3889374997996845,0.00030387495644390583,,0.0,0.0
synthetic,dataset6042,601,Uniform,lognormal_2p,w1,0.41734659135934316,0.029493915964849293,,0.0,0.0
synthetic,dataset6042,601,Uniform,lognormal_3p,mle,0.4080950467996184,0.0024790840689092875,interior,2.7658379086937417e-05,-0.14169266095942856
synthetic,dataset6042,601,Uniform,lognormal_3p,w1,0.4192624964073514,0.19351066602393985,,0.0,0.08041657024131701
synthetic,dataset6042,601,Uniform,lognormal_offset,mle,0.41137007176227497,0.00025649997405707836,,0.0021759699181605158,-0.5
synthetic,dataset6042,601,Uniform,lognormal_offset,w1,0.4924065152698471,0.04169574996922165,,0.000583820444250923,-0.5
synthetic,dataset6042,601,Uniform,gamma,mle,0.38843398563724285,0.0002704579383134842,,0.0,0.0
synthetic,dataset6042,601,Uniform,gamma,w1,0.4975658518304018,0.06644470791798085,,0.0,0.0
synthetic,dataset6042,601,Uniform,kde,mle,0.39202369105799395,,,0.011865224773214401,
synthetic,dataset6042,601,Variable,normal,mle,0.5040781989123341,0.0002900409745052457,,0.14200079174381108,1.3327462598904387
synthetic,dataset6042,601,Variable,normal,w1,0.13152366373359384,0.11154212499968708,,0.9999999999999999,-88.73872478620483
synthetic,dataset6042,601,Variable,lognormal_2p,mle,0.10720604716286625,0.0002916669473052025,,0.0,0.0
synthetic,dataset6042,601,Variable,lognormal_2p,w1,0.10184040403668454,0.03612533397972584,,0.0,0.0
synthetic,dataset6042,601,Variable,lognormal_3p,mle,0.1181391739752741,0.0024751249002292752,boundary_guard,0.008119751326302152,-0.23057358080429552
synthetic,dataset6042,601,Variable,lognormal_3p,w1,0.09749441398195571,0.08087820804212242,,0.004608939775394162,-0.13730973627556758
synthetic,dataset6042,601,Variable,lognormal_offset,mle,0.1608854274529326,0.00025412498507648706,,0.023723013273554684,-0.5
synthetic,dataset6042,601,Variable,lognormal_offset,w1,0.10685311670918163,0.04612345795612782,,0.06879129276654444,-0.5
synthetic,dataset6042,601,Variable,gamma,mle,0.14855708569033824,0.00026408396661281586,,0.0,0.0
synthetic,dataset6042,601,Variable,gamma,w1,0.12123377632205048,0.041890834108926356,,0.0,0.0
synthetic,dataset6042,601,Variable,kde,mle,0.18119695063173225,,,0.09468559298431632,
synthetic,dataset6047,124,Uniform,normal,mle,0.11802366416071824,0.0003095000283792615,,0.035238745048871624,1.0000000000000002
synthetic,dataset6047,124,Uniform,normal,w1,0.07420058209266407,0.031495625036768615,,0.10537409760517263,0.8516458093389403
synthetic,dataset6047,124,Uniform,lognormal_2p,mle,0.15317592868336175,0.00032591703347861767,,0.0,0.0
synthetic,dataset6047,124,Uniform,lognormal_2p,w1,0.1286586545954203,0.03859441599342972,,0.0,0.0
synthetic,dataset6047,124,Uniform,lognormal_3p,mle,0.09586613040913868,0.0018853750079870224,interior,0.008658450680601056,-0.8794846972044215
synthetic,dataset6047,124,Uniform,lognormal_3p,w1,0.07441659590196978,0.2398004160495475,,0.1034661020019686,-117.92332756982327
synthetic,dataset6047,124,Uniform,lognormal_offset,mle,0.09619932971532143,0.00023283297196030617,,0.004080138366962237,-0.5
